product_code,product_name,category,subcategory,moisture_threshold_wt%,particle_size_target_d50_μm,tap_density_target_g/cm³,surface_area_target_m²/g,drying_temp_standard_°C,residence_time_standard_s,batch_size_kg,shelf_life_months,storage_conditions,created_date,last_updated,status,notes
CAT01,NCM811_양극재_분말,배터리소재,양극재,0.50,12.0,2.50,5.0,80.0,125,500,24,건조환경보관,2020-01-15,2025-07-01,active,고용량 배터리용 주력 제품
CAT02,NCM622_양극재_분말,배터리소재,양극재,0.50,12.5,2.45,4.8,78.5,120,500,24,건조환경보관,2019-05-20,2025-06-15,active,중급형 배터리용 제품
CAT03,LFP_양극재_분말,배터리소재,양극재,0.45,10.5,2.65,4.2,82.0,135,500,18,건조환경보관,2021-03-10,2025-05-30,active,ESS용 안전성 중심 제품
CAT04,NCM111_양극재_분말,배터리소재,양극재,0.55,13.0,2.40,4.5,75.0,115,500,24,건조환경보관,2018-11-08,2025-04-20,discontinued,구형 제품 단종
CAT05,NCA_양극재_분말,배터리소재,양극재,0.48,11.8,2.52,5.2,81.5,130,500,24,건조환경보관,2020-08-25,2025-06-10,active,고성능 배터리용 제품
CAT06,LMFP_양극재_분말,배터리소재,양극재,0.42,10.0,2.70,4.0,83.0,140,500,18,건조환경보관,2023-02-14,2025-07-20,development,차세대 제품 개발 중
CAT07,NCM532_양극재_분말,배터리소재,양극재,0.52,12.8,2.42,4.6,79.0,122,500,24,건조환경보관,2019-09-12,2025-05-25,active,범용 배터리용 제품
CAT08,NCM955_양극재_분말,배터리소재,양극재,0.48,11.5,2.55,5.3,82.5,128,500,24,건조환경보관,2024-01-10,2025-08-05,pilot,시험 생산 단계
AN01,Si_음극재_분말,배터리소재,음극재,0.30,8.5,1.20,15.0,120.0,180,300,12,질소환경보관,2022-06-18,2025-07-10,active,고용량 음극재
AN02,SiO_음극재_분말,배터리소재,음극재,0.35,9.0,1.15,12.5,115.0,175,300,12,질소환경보관,2021-12-05,2025-06-20,active,중급형 음극재
AN03,Graphite_음극재_분말,배터리소재,음극재,0.25,15.0,0.95,3.5,85.0,90,400,36,일반환경보관,2018-03-22,2025-05-15,active,표준 음극재
EL01,LiPF6_전해질,배터리소재,전해질,0.005,,1.28,,25.0,0,50,6,밀폐건조보관,2020-11-30,2025-08-01,active,표준 전해질
EL02,LiFSI_전해질,배터리소재,전해질,0.003,,1.32,,25.0,0,50,6,밀폐건조보관,2022-04-15,2025-07-25,active,고성능 전해질
SP01,PE_분리막,배터리소재,분리막,0.10,,0.92,,60.0,30,100,24,건조환경보관,2019-07-08,2025-06-30,active,표준 분리막
SP02,Ceramic_분리막,배터리소재,분리막,0.08,,0.95,,65.0,35,100,24,건조환경보관,2021-09-20,2025-07-15,active,고온용 분리막 
